FPR,TPR,Thresholds
0.10249839846252402,0.23636363636363636,0.4909206
0.1031390134529148,0.23636363636363636,0.49068537
0.1031390134529148,0.2381818181818182,0.4902852
0.10377962844330557,0.2381818181818182,0.4889492
0.10377962844330557,0.24,0.48868817
0.10442024343369635,0.24,0.48860568
0.10442024343369635,0.24181818181818182,0.48766303
0.10506085842408712,0.24181818181818182,0.48749873
0.10506085842408712,0.24545454545454545,0.48708704
0.10634208840486867,0.24545454545454545,0.48595726
0.10634208840486867,0.24909090909090909,0.48141432
0.1108263933376041,0.24909090909090909,0.47743315
0.1108263933376041,0.2545454545454545,0.47425264
0.11146700832799487,0.2545454545454545,0.47389138
0.11146700832799487,0.25636363636363635,0.47359392
0.11531069827033953,0.25636363636363635,0.46868607
0.11531069827033953,0.26181818181818184,0.46822596
